date,steps,distance,runDistance,calories
2023-09-12,3819,2865,2364,183
2023-09-13,8503,6732,5125,307
2023-09-14,21004,15901,12210,696
2023-09-15,5551,4340,3320,212
2023-09-16,4199,3179,2500,172
2023-09-17,8400,6603,5088,314
2023-09-18,10559,8194,6434,371
2023-09-19,8452,6461,5049,326
2023-09-20,10601,8281,6452,401
2023-09-21,4526,3475,2699,164
2023-09-22,63,45,0,4
2023-09-23,2656,1987,1552,116
2023-09-24,9888,7786,5904,343
2023-09-25,6849,5307,4088,255
2023-09-26,9577,7582,5723,327
2023-09-27,6705,5111,3906,229
2023-09-28,6066,4693,3707,211
2023-09-29,7458,5869,4511,249
2023-09-30,7843,6120,4648,288
2023-10-01,11740,9534,7058,382
2023-10-02,6018,4629,3687,221
2023-10-03,2961,2141,1834,138
2023-10-04,1057,760,606,69
2023-10-05,4450,3414,2715,189
2023-10-06,7644,6020,4576,261
2023-10-07,2878,2172,1601,137
2023-10-08,1193,872,756,81
2023-10-09,11638,9009,6857,387
2023-10-10,5648,4317,3327,212
2023-10-11,1143,821,755,69
2023-10-12,8538,6508,4990,304
2023-10-13,9553,7372,5708,347
2023-10-14,3823,2861,2367,165
2023-10-15,9619,7245,5735,361
2023-10-16,1051,774,632,58
2023-10-17,3488,2633,2042,139
2023-10-18,7574,5923,4648,291
2023-10-19,6610,5026,3853,238
2023-10-20,7787,6290,4811,285
2023-10-21,2783,2121,1713,129
2023-10-22,179,129,93,9
2023-10-23,0,0,0,0
2023-10-24,6367,5073,4035,245
2023-10-25,12605,9827,7457,437
2023-10-26,7271,5715,4403,259
2023-10-27,9850,7717,5991,343
2023-10-28,20531,16290,12224,651
2023-10-29,14113,11018,8431,456
2023-10-30,3817,2980,2351,133
